ches_interven,ches_redistribution,ches_sociallife,ches_civlib,ches_immigration,ches_environment,lrgen_3,lrecon_3,galtan_3
8.0,6.0,5.0,5.0,9.0,6.0,c,c,l
0.0,0.0,10.0,2.0,9.0,7.0,c,l,c
9.0,5.0,4.0,1.0,5.0,7.0,c,c,c
2.0,6.0,9.0,7.0,8.0,10.0,r,r,r
1.0,4.0,10.0,10.0,10.0,10.0,r,r,r
0.0,1.0,10.0,10.0,10.0,10.0,r,r,r
1.0,4.0,10.0,10.0,10.0,10.0,r,r,r
5.0,7.0,0.0,0.0,2.0,1.0,c,r,l
10.0,9.0,9.0,8.0,9.0,6.0,r,r,r
6.0,5.0,5.0,6.0,4.0,4.0,r,r,r
3.0,1.0,7.0,8.0,7.0,8.0,l,l,r
4.0,3.0,4.0,5.0,3.0,6.0,c,c,r
4.0,2.0,6.0,7.0,6.0,7.0,c,c,r
5.0,2.0,8.0,10.0,9.0,8.0,c,c,r
2.0,1.0,10.0,10.0,9.0,8.0,l,l,r
3.0,3.0,9.0,10.0,8.0,7.0,l,l,r
8.0,6.0,1.0,3.0,3.0,0.0,r,r,l
7.0,8.0,6.0,6.0,5.0,1.0,r,r,c
8.0,6.0,9.0,9.0,8.0,9.0,r,r,r
6.0,3.0,6.0,5.0,7.0,8.0,c,c,r
8.0,4.0,5.0,3.0,6.0,9.0,c,c,c
5.0,5.0,1.0,2.0,6.0,6.0,c,,l
9.0,7.0,7.0,5.0,8.0,9.0,r,r,r
8.0,6.0,8.0,9.0,8.0,9.0,r,r,r
6.0,3.0,6.0,5.0,7.0,8.0,c,c,c
8.0,4.0,4.0,3.0,6.0,9.0,c,c,c
6.0,5.0,1.0,2.0,6.0,6.0,c,,l
9.0,7.0,8.0,5.0,9.0,9.0,r,r,r
5.0,5.0,3.0,5.0,4.0,5.0,r,c,c
5.0,5.0,1.0,1.0,1.0,5.0,c,c,l
8.0,2.0,1.0,1.0,1.0,5.0,r,c,l
7.0,4.0,6.0,5.0,10.0,8.0,r,c,r
2.0,2.0,2.0,2.0,10.0,7.0,c,l,l
