NSID,W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W6NEETAct,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8DACTIVITY,W8QDEB2,W8QMAFI,W8DINCW
NS26052A,23011.04,-1,1,1,2,0,1,2,1,15,15,1,1,1,1,0,0,1,1,0,2,2,0,2,1,1,0,2,-1,-1,1,31,7,2,1,3,2,2,2,4,8,-91,1,2,2,1,2,2,9,4,4,2,10,-91,0,1,1,1,1,5,1,-1,3,243.08
NS18276E,7200,27150,2,1,1,1,1,2,1,2,7,1,2,2,1,0,1,2,0,0,2,3,0,3,1,2,0,2,1,2,1,31,0,2,2,2,2,2,2,5,15,-91,1,1,2,2,2,2,9,4,4,2,9,-91,2,2,1,1,1,4,1,5500,2,243.05
NS24627T,2652,2652,2,1,1,1,1,4,1,20,20,2,3,6,2,0,0,2,0,0,2,2,0,8,5,2,3,1,2,2,3,33,2,2,1,-91,2,2,2,5,17,-91,1,1,2,1,1,-91,1,4,4,2,10,-91,0,2,1,1,2,4,2,-1,3,243.04
NS22905S,-91,-91,6,1,2,1,1,4,1,15,14,3,3,5,3,0,0,2,0,0,2,2,0,8,6,1,5,2,2,1,3,29,7,1,4,6,2,2,2,5,15,-91,1,2,2,1,1,-91,1,4,4,2,14,-91,3,1,5,2,2,4,6,30000,3,242.92
NS16097Z,-91,-92,10,1,2,1,1,2,1,20,20,1,3,6,1,0,0,3,0,1,2,3,0,1,1,2,5,-1,1,2,3,29,0,1,1,2,1,2,2,5,13,-91,1,2,2,1,2,2,9,4,4,2,14,-91,0,1,1,1,1,5,1,-1,1,242.8
NS20265D,-91,-91,10,1,2,4,1,4,1,8,20,3,3,6,3,0,3,2,2,0,2,7,0,8,8,1,3,2,2,2,3,43,0,2,1,-91,2,2,2,5,20,-91,2,1,2,1,1,-91,1,4,4,2,10,-91,2,1,1,1,2,4,1,600,1,242.73
NS22516E,28800,28800,1,1,2,0,1,2,1,2,-98,-98,1,1,-98,0,0,1,0,0,1,1,1,2,1,1,2,2,1,2,3,34,1,2,2,2,2,2,2,5,15,-91,1,1,2,2,1,-91,1,4,4,2,17,-91,1,1,1,1,1,5,1,11000,1,242.66
NS14265B,-91,-1,10,1,2,1,1,1,1,20,4,1,3,6,1,0,1,1,0,0,2,2,0,4,4,1,5,2,2,1,3,38,1,2,2,-91,2,1,1,5,19,-91,2,1,2,2,1,-91,1,4,4,2,10,-91,3,1,1,1,2,5,1,20000,2,242.6
NS18863V,-1,-1,2,1,1,0,1,2,1,8,-98,-98,2,2,-98,0,0,1,0,0,1,1,1,5,6,2,4,2,-1,1,3,31,2,-1,1,-91,2,2,2,5,13,-91,2,1,2,2,1,-91,9,4,4,2,13,-91,2,1,1,1,1,7,1,-1,2,242.58
NS21026S,38400,43400,1,1,2,1,1,2,1,1,20,1,1,1,1,0,1,1,0,0,2,2,0,1,1,3,3,2,2,1,1,19,1,2,2,2,2,2,2,2,5,-91,2,1,2,2,1,-91,9,4,4,2,11,-91,0,1,2,1,1,7,3,-1,4,242.55
NS22220L,-91,-1,10,1,2,0,1,2,2,15,20,1,3,6,1,0,0,1,0,0,2,1,0,7,3,2,4,-1,2,2,3,34,-92,2,2,-91,2,2,2,5,16,-91,2,1,2,2,1,-91,1,4,4,-94,16,-91,0,1,1,1,2,4,1,500,2,242.45
NS16473P,-91,13520,10,1,2,3,1,2,1,15,20,1,3,6,1,1,1,2,0,0,2,4,0,6,3,1,5,2,2,1,3,39,5,-1,3,5,2,2,2,5,17,-91,2,1,2,2,1,-91,1,4,4,2,11,-91,6,1,1,1,2,5,1,-1,2,242.45
NS14994Z,11778,11778,1,1,2,1,1,4,2,15,-98,-98,1,1,-98,0,1,1,1,0,1,3,1,7,6,1,3,-97,-97,-97,3,-97,0,2,1,-91,2,2,2,5,19,-91,2,1,2,1,2,2,9,4,4,2,13,-91,-1,9,-1,-1,2,4,-1,-1,-1,242.44
NS23520N,17803.76,17803.76,1,1,2,1,1,6,1,17,-98,-98,1,1,-98,0,1,1,1,0,4,3,1,2,7,2,3,2,2,1,3,36,0,1,1,-91,2,2,1,5,18,-91,2,1,2,2,1,-91,9,4,4,2,13,-91,0,1,1,1,2,4,1,-1,2,242.4
NS22680M,-91,9000,10,1,2,1,1,2,1,20,20,1,3,6,1,0,1,1,0,0,2,2,0,4,4,2,5,2,2,1,3,43,10,2,4,-91,2,2,2,5,18,-91,2,1,2,2,1,-91,1,4,4,2,16,-91,4,1,1,1,2,5,1,0,2,242.37
NS22807S,-91,-91,10,1,2,0,1,1,1,20,-98,-98,3,6,-98,0,1,1,0,0,6,2,1,3,1,2,3,2,1,2,3,40,0,2,1,3,2,2,2,5,16,-91,1,1,2,1,2,2,9,4,4,2,12,-91,2,1,1,1,2,4,1,1000,2,242.33
NS22760A,11065.6,21239.4,1,1,2,0,1,2,2,20,20,1,1,1,1,0,0,1,1,0,2,2,0,7,3,1,4,2,2,2,3,38,11,2,4,-1,2,1,1,5,8,-91,1,1,2,1,1,-91,1,4,4,2,12,-91,11,1,2,1,2,5,3,-1,3,242.31
NS25566P,10400,19240,1,1,2,0,1,2,1,20,20,1,1,1,1,0,0,1,1,0,2,2,0,7,3,1,2,2,2,2,3,32,0,1,2,-91,2,2,2,5,14,-91,2,1,2,2,2,1,8,3,3,2,14,-91,0,1,1,1,2,5,1,-1,3,242.23
NS10474R,-92,-92,1,1,2,0,1,1,1,20,20,1,3,6,1,0,0,1,1,0,2,2,0,6,3,1,3,2,2,2,3,40,0,2,1,-91,2,2,2,5,15,-91,2,1,2,2,2,1,9,4,4,2,13,-91,1,1,1,1,2,5,1,-1,1,242.23
NS20252F,4680,18720,2,1,2,1,1,2,1,20,16,1,2,2,1,0,1,1,0,0,2,2,0,6,1,-1,5,2,2,-1,3,28,0,2,2,-91,2,1,2,1,9,-91,1,1,1,1,2,2,9,4,4,2,13,-91,0,1,1,1,2,5,1,-1,2,242.17
NS12787M,-92,-92,2,1,2,1,1,1,1,15,13,2,2,2,2,0,1,1,0,1,2,2,0,4,1,3,4,2,1,2,3,26,1,2,2,2,2,2,2,5,15,-91,2,1,2,2,2,1,3,4,1,2,10,-91,11,1,1,1,1,7,1,-1,5,242.06
NS20221W,-91,13260,12,1,2,2,1,5,1,9,4,3,1,1,9,0,2,1,0,0,2,3,0,8,7,1,3,2,2,2,3,42,0,-92,1,-91,2,2,2,5,12,-91,2,1,2,2,1,-91,1,4,4,2,8,-91,1,2,1,1,2,2,2,-1,1,242.01
NS18380V,15267.2,15267.2,1,1,2,0,1,2,1,20,20,1,3,6,1,0,0,1,0,0,2,1,0,7,4,1,3,2,2,1,3,41,0,2,2,-91,2,2,2,5,16,-91,2,1,2,2,2,1,3,4,1,2,9,-91,1,1,1,1,2,5,2,-1,1,241.96
NS14571Y,-91,70000,10,1,2,2,1,2,1,2,2,1,3,6,1,0,2,1,0,0,2,3,0,1,4,1,4,2,2,-1,3,40,7,-1,3,-1,2,2,2,5,16,-91,2,1,2,2,1,-91,1,4,4,2,12,-91,5,1,1,1,2,5,1,-1,1,241.94
NS25514P,-91,-92,10,1,2,1,1,1,1,15,20,1,3,6,1,0,0,2,1,0,2,3,0,3,3,2,1,2,2,2,3,36,0,2,1,-91,2,2,2,5,15,-91,2,1,2,2,1,-91,1,4,4,2,16,-91,3,1,1,1,1,7,1,-1,2,241.86
NS15379Y,-91,-91,10,1,2,2,1,4,2,15,-98,-98,3,6,-98,0,1,2,0,0,1,3,1,8,1,1,3,2,2,2,2,40,0,2,1,4,2,2,2,5,15,-91,2,1,2,1,2,2,9,4,4,2,6,-91,0,1,1,1,2,7,1,100,1,241.86
