NSID,W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W6NEETAct,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8DACTIVITY,W8QDEB2,W8QMAFI,W8DINCW
NS12653X,-1,-1,2,1,2,1,1,2,1,15,15,1,2,2,1,0,1,1,0,0,2,2,0,2,1,1,2,2,2,1,2,37,0,2,1,6,2,2,2,5,14,-91,2,1,2,2,1,-91,1,4,4,2,16,-91,0,1,1,1,2,2,1,10000,1,491.71
NS19668R,9360,59360,2,1,2,0,1,1,1,5,3,1,2,2,1,0,0,1,0,0,2,1,0,2,1,1,5,2,1,1,3,31,1,2,2,4,2,2,2,5,16,-91,1,1,2,2,1,-91,1,4,4,2,10,-91,12,1,1,1,2,5,1,-1,4,480
NS23435L,-92,-92,2,1,2,0,1,2,1,15,9,1,2,2,1,0,0,1,1,0,2,2,0,2,1,4,2,2,2,1,3,28,1,2,2,3,2,2,2,2,4,-91,1,2,2,1,2,2,9,4,4,2,4,-91,0,2,1,1,2,2,1,-1,1,478.69
NS16371K,-92,-99,1,1,2,0,1,2,1,15,-99,1,1,1,1,0,0,1,0,0,2,1,0,-99,1,1,2,2,1,1,3,36,2,2,2,2,2,1,2,5,17,-91,1,1,2,1,1,-91,9,4,4,2,14,-91,2,1,1,1,2,2,1,24000,2,478.43
NS22371M,6448,-92,2,1,1,1,1,2,1,3,7,1,2,2,1,0,0,3,0,0,2,3,0,1,1,2,4,2,1,1,3,29,0,2,1,3,1,1,2,5,13,-91,1,1,2,1,1,-91,1,4,4,2,16,-91,1,1,1,1,2,4,1,10500,3,477.56
NS23189G,16354,52910,1,1,2,0,1,2,1,4,9,1,1,1,1,0,0,1,0,0,2,1,0,2,1,2,4,2,1,2,3,39,0,2,1,3,2,2,2,5,15,-91,2,1,2,1,1,-91,1,4,4,2,12,-91,0,1,1,1,2,7,1,800,2,476.98
NS25326G,4560,62560,2,1,1,1,1,1,1,2,1,1,2,2,1,0,0,2,0,0,2,2,0,3,1,1,3,2,1,1,3,33,5,2,3,3,1,2,2,5,14,-91,1,1,2,2,1,-91,1,4,4,2,17,-91,3,1,1,1,2,4,1,-1,1,475.76
NS18493V,5760,47760,2,1,1,1,1,2,1,15,3,1,2,2,1,0,0,2,0,0,2,2,0,2,1,1,5,2,-1,2,3,37,1,2,1,3,1,2,2,5,11,-91,1,1,2,2,1,-91,1,4,4,2,13,-91,0,1,1,1,2,7,1,1000,1,474.18
NS21179W,5226,26962,2,1,2,0,1,2,1,9,13,1,2,2,1,0,0,1,0,0,2,1,0,5,1,1,1,2,1,1,3,39,5,2,4,3,1,2,2,5,14,-91,2,1,2,2,2,1,2,4,4,2,15,-91,0,1,1,1,2,4,1,3000,2,473.36
NS18546C,10680,28680,1,1,2,1,1,2,1,7,16,1,1,1,1,0,0,2,1,0,2,3,0,2,1,2,3,1,1,1,3,25,10,2,3,-91,2,1,2,5,7,-91,1,1,2,1,2,2,9,4,4,2,12,-91,4,1,1,1,2,4,1,1600,2,473.28
NS18334B,10829.52,25880.4,2,1,2,0,1,2,1,15,2,2,2,2,2,0,0,1,1,0,2,2,0,2,1,2,3,2,1,-1,3,30,5,2,3,3,2,2,2,5,15,-91,1,2,2,1,2,2,9,4,4,2,8,-91,7,1,1,1,2,4,1,1000,2,469.74
NS11683K,5616,35616,2,1,2,1,1,2,1,15,15,1,2,2,1,0,1,1,0,0,2,2,0,2,1,2,2,2,1,1,3,30,3,2,3,2,1,2,2,5,14,-91,1,1,2,1,2,2,9,4,4,2,5,-91,5,1,1,1,2,4,2,-1,2,469.74
NS15485Q,4800,25080,2,1,1,0,1,2,1,15,8,1,2,2,1,0,0,1,0,0,2,1,0,1,1,2,4,2,2,2,3,31,0,2,1,3,2,2,2,5,14,-91,1,1,2,1,1,-91,1,4,4,2,11,-91,0,1,1,1,2,4,1,-1,2,468.9
NS20957B,13272,52272,2,1,2,0,1,2,1,15,7,1,2,2,1,0,0,1,1,0,2,2,0,3,1,2,3,2,1,1,3,35,0,2,2,3,2,2,2,5,14,-91,1,1,2,2,1,-91,9,4,4,2,13,-91,1,1,1,1,2,7,1,23000,3,468.21
NS19043J,4940,24940,2,1,1,2,1,2,1,7,4,1,2,2,1,0,1,2,0,0,2,3,0,5,1,2,1,2,1,2,3,42,0,2,1,4,2,2,2,5,16,-91,2,1,2,2,1,-91,1,4,4,2,13,-91,4,1,1,1,2,5,1,-1,1,467.9
NS11703F,32500,58500,1,1,2,0,1,2,1,1,1,1,1,1,1,0,0,1,2,0,2,3,0,1,1,2,3,2,1,2,3,39,0,2,2,3,1,2,2,5,10,-91,1,1,2,1,2,2,9,4,4,2,19,-91,0,1,1,1,2,2,1,4000,2,465.94
NS18925W,15288,40300,1,1,2,0,1,2,1,15,4,1,1,1,1,0,0,1,0,0,2,1,0,1,1,2,2,1,1,1,3,34,8,2,4,2,1,2,2,5,13,-91,2,1,2,1,2,1,3,4,1,2,12,-91,0,1,3,1,2,5,11,30000,2,465.94
NS18853A,-92,-92,2,1,2,1,1,2,1,15,1,1,2,2,1,0,1,1,1,0,2,3,0,2,1,1,4,2,1,1,3,37,3,2,2,3,1,1,2,5,13,-91,1,2,2,1,2,2,9,4,4,2,12,-91,2,1,1,1,2,4,1,1000,2,465.31
NS13957D,2600,29600,3,1,2,1,1,2,1,7,14,1,1,1,1,0,0,2,1,0,2,3,0,3,1,2,5,2,1,1,3,32,0,2,2,2,1,1,1,5,13,-91,1,1,2,1,1,-91,1,4,4,2,14,-91,-1,1,1,1,2,2,1,-1,-9,464.95
NS23516A,6453.72,26530.92,2,1,2,1,1,2,1,14,16,1,2,2,1,0,1,2,0,0,2,3,0,5,1,1,1,2,1,1,3,39,3,2,2,2,2,2,2,1,11,-91,1,2,2,1,2,2,9,4,4,2,9,-91,0,1,1,1,2,4,2,300,3,464.82
NS24564R,6219.2,33219.2,2,1,2,0,1,2,1,15,15,1,2,2,1,0,0,1,0,0,2,1,0,2,1,1,3,2,2,-1,3,40,0,2,2,2,2,1,2,5,15,-91,1,1,2,2,1,-91,1,4,4,2,14,-91,0,1,1,1,2,7,1,-1,2,464.75
NS18837Q,25600,46600,1,1,2,1,1,2,1,6,4,1,1,1,1,0,1,1,0,0,2,2,0,2,1,1,-91,2,1,1,3,31,4,2,2,5,1,2,2,5,9,-91,2,2,2,1,2,2,9,4,4,2,10,-91,2,1,1,1,2,4,1,11000,2,464.35
NS11771Q,31500,-99,1,1,2,0,1,2,1,15,-99,1,1,1,1,0,0,1,0,0,2,1,0,-99,1,2,2,2,2,1,3,42,3,2,4,6,2,2,2,5,19,-91,1,1,2,1,2,2,9,4,4,2,5,-91,11,1,1,1,2,4,1,700,2,463.46
NS13999J,18000,-1,3,1,2,0,1,2,1,5,13,1,2,2,1,0,0,1,1,0,2,2,0,2,1,3,3,2,2,2,3,31,2,2,2,2,2,2,2,5,15,-91,1,1,2,2,2,2,9,4,4,2,16,-91,0,1,1,1,2,4,1,-1,2,461.82
NS18151H,-92,-92,1,1,2,2,1,2,1,15,19,1,1,1,1,0,2,1,0,0,2,3,0,2,1,3,5,2,2,2,3,37,0,2,1,5,2,2,2,5,17,-91,1,1,2,2,1,-91,9,4,4,2,9,-91,4,1,1,1,2,4,1,1000,1,461.39
NS25534D,6060.6,36300.6,2,1,2,0,1,2,1,15,15,1,2,2,1,0,0,1,0,0,2,1,0,3,1,1,1,1,1,1,3,37,3,2,3,2,1,2,2,5,11,-91,1,1,2,1,2,1,3,4,1,2,13,-91,10,1,2,1,2,5,4,-1,3,460.44
NS17444C,3785.6,45785.6,2,2,2,1,1,2,1,15,2,1,2,2,1,0,1,1,0,0,2,2,0,2,1,1,1,2,2,2,3,38,6,2,4,3,1,2,2,5,15,-91,1,1,2,1,2,1,4,4,2,2,12,-91,0,1,1,1,2,2,1,3300,1,460.26
NS11589P,12000,12000,2,1,2,0,1,5,1,15,-99,-99,2,2,-99,0,0,1,0,0,2,1,0,-99,1,2,2,2,1,1,3,38,0,2,2,2,2,2,2,5,15,-91,2,1,2,1,2,2,9,4,4,2,7,-91,0,1,1,1,2,4,1,-1,1,460.2
NS19634D,2691,39091,2,1,2,2,1,2,1,13,15,1,2,2,1,0,1,2,0,0,2,3,0,4,1,2,4,2,1,1,3,33,5,2,4,2,1,2,2,5,11,-91,2,1,2,2,1,-91,1,4,4,2,11,-91,1,2,1,1,2,2,1,20000,2,459.89
NS25111C,-1,-1,2,1,2,0,1,2,1,15,2,1,2,2,1,0,0,1,1,0,2,1,0,4,1,-1,5,2,2,1,3,33,3,2,2,4,1,2,2,5,11,-91,2,1,2,2,1,-91,1,4,4,2,13,-91,2,1,1,1,2,4,1,25000,2,459.89
NS21707V,4914,33714,2,1,2,0,1,2,1,15,7,1,2,2,1,0,0,1,1,0,2,2,0,1,1,1,2,2,1,2,3,36,6,2,4,2,2,2,2,5,13,-91,1,1,2,2,1,-91,1,4,4,2,17,-91,11,1,1,1,2,2,1,-1,2,459.7
NS18489G,7527,32527,2,1,2,1,1,2,1,15,15,1,2,2,1,0,1,1,0,0,2,2,0,4,1,1,2,2,1,2,3,42,0,2,1,5,2,2,2,5,15,-91,1,1,2,2,1,-91,1,4,4,2,13,-91,0,1,1,1,2,4,1,10000,2,459.46
NS24689N,4680,64680,2,1,2,1,1,2,1,15,13,1,2,2,1,0,0,2,0,0,2,2,0,4,1,1,3,2,2,2,3,47,0,2,1,5,2,2,2,5,19,-91,1,1,2,2,1,-91,1,4,4,2,9,-91,0,1,1,1,2,2,1,1500,1,459.46
NS13827S,1560,13560,2,1,2,1,1,2,1,15,20,1,2,2,1,0,0,2,0,0,2,2,0,4,1,2,5,2,2,2,3,40,0,2,1,6,2,2,2,5,18,-91,1,1,2,1,2,2,9,4,4,2,16,-91,0,1,1,1,2,2,1,-1,2,459.46
NS21018A,-999,-999,1,1,2,1,1,8,1,20,13,1,2,2,1,0,1,2,0,0,2,3,0,4,1,3,1,1,1,1,3,29,6,2,3,3,1,1,2,2,11,-91,1,2,2,1,2,2,9,4,4,2,10,-91,0,2,2,1,2,4,3,3000,1,459.15
NS12281V,15303.6,30303.6,2,1,2,1,1,2,1,15,16,1,2,2,1,0,1,1,0,0,2,2,0,2,1,2,4,2,1,2,3,30,2,2,2,4,2,2,2,5,17,-91,1,1,2,1,2,1,9,4,4,2,11,-91,5,1,9,2,2,5,13,-1,4,458.96
NS17544E,28560,-99,1,1,2,1,1,2,1,15,-99,1,1,1,1,0,1,1,0,0,2,2,0,-99,1,1,4,2,1,2,3,41,2,2,1,3,1,2,2,5,16,-91,1,1,2,1,2,2,9,4,4,2,11,-91,4,1,1,1,2,1,1,0,1,455.72
NS16415Z,25296,25296,2,1,2,0,1,1,1,2,1,3,2,2,7,0,0,1,1,0,2,2,0,2,1,1,5,2,1,2,2,34,0,2,2,5,1,2,2,5,16,-91,1,1,2,2,1,-91,1,4,4,2,12,-91,1,1,1,1,2,1,1,-1,2,454.43
NS22448N,17500,62500,2,1,2,0,1,2,1,2,7,1,2,2,1,0,0,1,1,0,2,2,0,2,1,2,-91,2,1,1,3,31,6,2,3,2,1,2,2,5,15,-91,1,1,2,2,1,-91,1,4,4,2,14,-91,8,1,1,1,2,4,1,-1,3,454.43
NS10546M,10186.8,60186.8,2,1,2,0,1,2,1,15,15,1,2,2,1,0,0,1,1,0,2,2,0,2,1,2,4,2,1,1,3,25,3,2,3,3,2,2,2,5,11,-91,2,1,2,1,2,2,9,4,4,2,9,-91,0,1,1,1,2,4,1,-1,1,454.16
NS25150E,4738.76,43138.76,2,1,2,1,1,2,1,14,2,1,2,2,1,0,1,1,0,0,2,2,0,2,1,2,4,2,1,2,3,42,5,2,1,3,2,2,2,5,19,-91,1,1,2,2,1,-91,1,4,4,2,16,-91,2,1,1,1,2,4,1,800,1,454.16
NS16234H,16668,58668,2,1,2,1,1,2,1,2,2,1,2,2,1,0,1,1,0,0,2,2,0,2,1,2,3,2,2,2,3,46,3,2,3,6,2,2,2,5,17,-91,1,1,2,2,1,-91,1,4,4,2,14,-91,0,1,1,1,2,4,1,-1,1,454
NS16008Z,4836,30810,2,1,2,1,1,2,1,15,5,1,2,2,1,0,0,2,0,0,2,2,0,5,1,2,3,2,1,2,3,36,0,1,1,2,1,2,2,5,19,-91,1,1,2,1,1,-91,1,4,4,2,14,-91,0,1,1,1,1,2,1,10000,2,453.93
NS15867M,9960,-1,2,1,2,0,1,2,1,7,13,1,2,2,1,0,0,1,1,0,2,2,0,2,1,1,5,2,1,1,3,47,8,2,3,3,1,2,2,5,18,-91,1,1,2,1,1,-91,1,4,4,2,15,-91,5,1,1,1,2,7,1,-1,1,453.17
NS25606Z,5746,80746,2,1,2,1,1,2,1,13,9,1,2,2,1,0,1,1,0,0,2,2,0,-94,1,-1,1,2,2,2,3,40,1,2,2,3,2,2,2,5,14,-91,2,1,2,2,1,-91,1,4,4,2,14,-91,4,1,1,1,2,2,1,-1,2,453.12
NS25591S,6000,26000,4,1,2,1,1,2,1,15,2,1,2,2,1,0,1,1,0,0,2,2,0,2,1,1,-91,2,1,1,3,27,0,2,2,4,1,2,2,5,7,-91,2,1,2,2,1,-91,1,4,4,2,20,-91,2,1,1,1,2,4,1,-1,1,453.03
NS17944N,-1,-1,2,1,2,1,1,5,1,16,13,1,2,2,1,0,1,1,0,0,2,2,0,5,1,2,4,2,2,2,3,39,0,2,2,6,2,2,2,5,15,-91,1,1,2,1,1,-91,1,4,4,2,14,-91,0,1,1,1,2,7,1,-1,1,452.96
NS14042E,22000,-1,1,1,2,0,1,2,1,4,13,1,1,1,1,0,0,1,1,0,2,2,0,5,1,1,2,2,1,1,2,41,4,2,3,2,1,1,2,5,15,-91,1,1,2,1,1,-91,1,4,4,2,16,-91,9,1,1,1,2,4,1,7000,3,452.51
NS15857S,2496,-92,2,1,2,1,1,2,1,4,7,1,2,2,1,0,1,2,0,0,2,3,0,1,1,2,2,2,2,1,3,39,1,2,1,2,1,1,2,5,13,-91,2,1,2,2,2,2,9,4,4,2,11,-91,5,1,5,2,2,4,6,50000,2,452.45
NS20152D,6559.8,31559.8,2,1,2,1,1,2,1,7,4,1,2,2,1,0,1,1,1,0,2,3,0,2,1,2,3,2,1,2,3,31,6,2,3,2,1,2,2,5,14,-91,1,1,2,1,1,-91,1,4,4,2,15,-91,0,1,1,1,2,7,1,400,2,452.14
NS21683V,28560,101556,1,1,1,1,1,2,1,11,1,1,1,1,1,0,0,2,0,0,2,2,0,2,1,1,3,2,1,1,3,37,11,2,4,2,1,1,2,5,11,-91,1,1,2,1,2,1,3,4,1,2,16,-91,6,1,1,1,2,5,1,8000,3,451.86
NS25838P,14040,35040,2,1,2,1,1,2,1,7,4,1,2,2,1,0,1,1,0,0,2,2,0,2,1,1,4,2,2,2,3,47,0,2,1,5,2,2,2,5,18,-91,2,1,2,2,1,-91,1,4,4,2,15,-91,1,1,1,1,2,5,1,-1,1,451.72
NS13574F,-92,-92,2,1,2,0,1,2,1,8,2,1,2,2,1,0,0,1,0,0,2,1,0,2,1,2,-91,2,2,2,3,44,2,2,2,-91,2,2,1,5,12,-91,1,1,2,1,2,2,9,4,4,2,13,-91,4,1,1,1,2,2,1,2000,2,451.72
NS20569P,7654.4,12074.4,2,1,2,1,1,2,1,15,4,2,2,2,2,0,0,2,0,0,2,2,0,2,1,4,3,2,1,1,2,27,2,2,3,3,2,2,2,5,9,-91,1,1,2,1,1,-91,1,4,4,2,15,-91,5,1,1,1,2,5,1,8000,2,451.65
NS16293Z,100000,150000,3,1,2,0,1,2,1,2,3,1,1,1,1,0,0,2,0,1,2,2,0,2,1,1,5,2,2,2,3,36,4,2,2,2,1,2,2,5,15,-91,2,1,2,2,1,-91,1,4,4,2,12,-91,-1,1,1,1,2,4,1,3000,2,451.57
NS18277F,30000,57300,1,1,2,1,1,2,1,6,19,1,1,1,1,0,1,1,0,0,2,2,0,2,1,1,3,-1,1,1,3,31,5,2,2,2,1,1,2,5,13,-91,1,1,2,1,1,-91,1,4,4,2,16,-91,0,1,1,1,2,4,1,400,1,450.83
NS25554S,24948,42600,1,1,1,0,1,2,1,3,9,1,1,1,1,0,0,1,1,0,2,2,0,2,1,4,-91,2,1,1,3,23,2,1,2,5,1,2,2,5,5,-91,1,1,2,1,2,2,9,4,4,2,9,-91,0,1,1,1,2,4,2,-1,2,450.41
NS10990M,15025.92,41425.92,1,1,1,1,1,6,1,6,20,1,1,1,1,0,1,1,0,0,2,2,0,3,1,2,4,2,1,1,3,34,0,2,1,3,2,2,2,5,14,-91,1,1,2,1,2,1,9,4,4,2,17,-91,0,1,1,1,2,4,1,-1,2,450.16
NS12155N,-1,-1,2,1,2,3,1,2,1,7,7,1,2,2,1,0,2,2,0,0,2,4,0,3,1,1,3,2,2,1,3,37,1,1,3,3,2,1,1,5,16,-91,1,1,2,1,1,-91,1,4,4,2,16,-91,0,1,1,1,1,4,1,-1,4,450.03
NS15198G,16800,-99,2,1,2,0,1,2,1,15,-99,1,2,2,1,0,0,1,1,1,2,2,0,-99,1,3,5,2,1,1,3,29,2,2,3,2,2,2,2,5,9,-91,2,1,2,2,1,-91,1,4,4,2,14,-91,0,1,1,1,2,5,1,-1,2,449.65
NS19507W,8736,25061.4,2,1,2,1,1,2,1,15,16,1,2,2,1,0,1,1,0,0,2,2,0,5,1,-1,2,2,2,2,3,41,0,2,2,5,1,2,2,5,12,-91,1,1,2,1,2,1,9,4,4,2,15,-91,0,1,2,1,2,4,3,800,1,449.41
NS16237L,-1,-1,3,1,2,1,1,2,1,15,16,1,1,1,1,0,1,1,1,0,2,3,0,2,1,4,4,2,2,2,3,37,0,2,2,4,2,2,2,3,7,-91,1,2,2,1,2,2,9,4,4,2,9,-91,8,1,1,1,2,4,2,1500,1,449.38
NS20355L,16000,60000,3,1,2,1,1,2,1,8,15,1,1,1,1,0,1,2,0,0,2,3,0,4,1,3,3,-1,2,2,3,28,3,2,3,3,2,2,2,5,15,-91,1,1,2,1,2,2,9,4,4,2,12,-91,0,1,1,1,2,7,1,7000,2,449.36
NS13383V,4799.6,31735.6,2,1,2,5,1,2,1,6,2,1,2,2,1,0,4,2,0,0,2,6,0,1,1,1,5,2,2,2,3,37,0,2,1,4,2,2,2,5,18,-91,1,1,2,1,2,1,3,4,1,2,20,-91,0,1,1,1,2,7,1,2000,1,448.75
NS26074R,-3,-3,2,1,2,0,1,2,1,2,2,1,2,2,1,0,0,1,1,0,2,2,0,2,1,2,4,2,1,2,3,35,0,2,1,3,2,2,2,5,13,-91,1,1,2,2,1,-91,1,4,4,2,11,-91,2,1,1,1,1,4,1,-1,2,448.55
NS23639V,24000,67680,2,1,2,0,1,2,1,3,9,1,2,2,1,0,0,1,1,0,2,2,0,2,1,1,2,2,2,2,3,37,7,2,3,5,1,1,2,5,10,-91,1,1,2,2,1,-91,1,4,4,2,9,-91,0,1,5,2,2,4,6,-1,4,448.45
NS25661L,15500,59500,1,1,2,1,1,2,1,4,4,1,1,1,1,0,0,2,0,0,2,2,0,2,1,1,3,2,1,2,3,32,0,2,1,2,2,2,2,5,15,-91,2,1,2,2,1,-91,1,4,4,2,13,-91,0,1,1,1,1,2,1,-8,2,448.24
NS19261A,23000,74000,2,1,2,0,1,1,1,7,1,1,2,2,1,0,0,1,1,0,2,2,0,1,1,1,5,2,-1,2,3,31,1,2,2,3,-1,2,2,5,7,-91,1,1,2,2,1,-91,1,4,4,2,12,-91,7,1,1,1,2,4,2,250,3,448.19
NS12344X,5070,70070,2,1,2,1,1,2,1,15,4,1,2,2,1,0,0,2,0,0,2,2,0,1,1,2,2,1,1,2,3,22,1,2,2,1,1,2,2,5,15,-91,2,1,2,2,2,1,9,4,4,2,17,-91,3,1,1,1,2,4,1,-1,3,448.18
NS14116C,-1,-1,2,1,2,1,1,2,1,9,15,1,2,2,1,0,1,1,0,1,2,2,0,2,1,1,5,2,1,1,3,36,0,2,1,2,2,2,2,5,20,-91,2,1,2,1,1,-91,1,4,4,2,12,-91,3,1,1,1,1,7,1,-9,4,448.12
NS14852R,14784,38304,2,1,1,0,1,2,1,2,1,1,2,2,1,0,0,1,1,0,2,2,0,2,1,3,4,2,2,2,3,40,0,2,1,3,2,2,2,5,13,-91,1,1,2,2,1,-91,1,4,4,2,14,-91,0,2,1,1,2,2,1,-1,1,448.06
NS22585Q,46800,56300.4,1,1,2,0,1,2,1,20,15,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,2,-92,1,1,3,25,1,2,2,2,1,1,2,5,8,-91,1,1,2,1,2,2,9,4,4,2,14,-91,4,1,1,1,2,7,1,12223,1,447.92
NS18945K,20000,40000,2,1,2,0,1,2,1,2,9,1,2,2,1,0,0,1,0,0,2,1,0,2,1,1,4,2,2,2,3,36,1,2,1,-91,2,2,2,5,15,-91,1,1,2,2,2,2,9,4,4,2,15,-91,0,1,1,1,2,4,1,-1,2,447.89
NS12398Z,12906.4,18906.4,2,1,2,2,1,2,1,6,8,1,2,2,1,0,2,1,1,0,2,4,0,2,1,2,3,1,2,2,3,36,0,2,1,3,1,2,1,5,15,-91,1,1,2,2,2,2,9,4,4,2,12,-91,1,1,1,1,1,7,1,800,2,447.81
NS14102D,10200,100200,2,1,2,1,1,2,1,2,2,1,2,2,1,0,1,1,1,0,2,2,0,1,1,1,-91,2,1,2,3,21,0,2,1,2,1,2,2,5,10,-91,1,1,2,2,2,2,1,4,4,2,16,-91,0,2,1,1,2,4,2,-1,3,447.43
NS10146D,9000,54000,2,1,1,2,1,2,1,15,15,1,2,2,1,0,1,2,0,0,2,3,0,1,1,1,3,2,2,2,3,44,-92,2,-92,5,2,2,2,5,16,-91,1,2,2,1,2,1,3,4,1,2,13,-91,0,1,1,1,2,4,1,4500,2,447.16
NS22526Z,4711.72,32311.72,2,1,2,0,1,2,1,15,15,1,2,2,1,0,0,1,0,0,2,1,0,1,1,2,2,2,1,1,3,36,6,2,3,5,1,1,2,5,16,-91,2,1,2,2,1,-91,1,4,4,2,16,-91,0,1,1,1,2,4,1,-1,1,447.16
NS23233E,32460,72468,1,1,2,1,1,2,1,2,1,1,1,1,1,0,0,2,1,0,2,3,0,1,1,1,5,2,1,1,3,43,4,2,3,2,2,2,2,5,19,-91,2,1,2,2,1,-91,1,4,4,2,15,-91,0,1,1,1,2,7,1,6000,2,447.08
NS24158S,-1,-1,2,1,2,0,1,2,1,16,15,1,2,2,1,0,0,1,0,0,2,1,0,2,1,3,4,2,1,1,3,37,0,2,2,1,2,2,2,5,11,-91,1,1,2,2,1,-91,1,4,4,2,20,-91,1,1,1,1,1,3,1,4000,2,447.04
NS10094X,3000,17976,2,1,1,2,1,2,1,15,4,1,2,2,1,0,2,1,0,0,2,3,0,5,1,2,3,2,1,1,2,30,11,2,4,5,1,2,1,5,13,-91,1,1,2,2,1,-91,1,4,4,2,12,-91,5,1,1,1,2,7,1,4500,3,446.92
NS19527K,-92,-92,1,1,2,1,1,2,1,6,4,1,2,2,1,0,1,2,0,0,2,3,0,1,1,1,4,2,1,2,3,35,9,2,3,2,1,2,2,5,14,-91,1,1,2,1,1,-91,1,4,4,2,14,-91,2,1,1,1,2,2,1,1700,2,446.34
NS15376V,4500,4500,4,1,2,2,1,2,1,7,1,3,2,2,3,0,1,2,1,0,2,4,0,2,1,1,3,2,1,1,3,41,0,2,2,2,1,2,2,5,17,-91,2,1,2,2,1,-91,1,4,4,2,14,-91,1,1,5,2,1,4,6,-1,1,446.29
NS16711B,4680,-92,2,1,2,1,1,2,1,15,13,1,2,2,1,0,0,2,0,0,2,2,0,2,1,3,-91,2,-92,1,3,24,4,2,3,2,1,1,1,5,15,-91,1,2,2,2,1,-91,1,4,4,2,14,-91,4,1,2,1,2,4,3,3000,4,446.27
NS19636F,10935.6,61335.6,1,1,1,0,1,2,1,12,15,1,1,1,1,0,0,1,1,0,2,2,0,1,1,2,3,2,2,-1,2,31,9,2,4,3,1,2,2,5,15,-91,1,1,2,2,1,-91,1,4,4,2,21,-91,3,1,1,1,2,4,1,850,3,446.18
NS10747S,36000,41000,1,1,2,0,1,2,1,15,4,1,2,2,1,0,0,1,0,0,2,1,0,1,1,2,5,2,1,1,3,39,10,2,4,4,1,1,1,5,16,-91,2,1,2,2,2,2,9,4,4,2,7,1,1,1,1,1,2,5,1,10000,2,445.93
NS22228V,19500,69492,2,1,2,2,-999,-999,-91,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,1,2,4,2,2,2,3,26,9,2,4,3,2,2,2,5,15,-91,1,1,2,1,2,1,1,4,4,2,12,-91,0,1,2,1,2,2,3,-1,1,445.74
NS22562Y,32000,69000,1,1,2,0,1,2,1,1,2,1,1,1,1,0,0,1,0,0,2,1,0,2,1,2,5,2,1,1,3,38,0,2,1,2,2,2,2,5,17,-91,2,2,2,2,1,-91,1,4,4,2,16,-91,2,1,1,1,1,5,1,1000,5,445.72
NS20596V,9700,-1,1,1,2,2,1,2,1,4,14,1,1,1,1,0,2,1,0,0,2,3,0,5,1,3,1,2,2,2,3,40,2,2,3,2,1,2,2,5,13,-91,1,2,2,1,2,2,9,4,4,2,5,-91,6,1,1,1,2,7,1,3000,2,445.7
NS21554K,-999,-999,1,1,1,0,1,1,1,15,7,1,1,1,1,0,0,1,0,1,2,1,0,4,1,2,5,2,1,2,3,30,4,2,2,2,1,2,2,5,11,-91,1,1,2,1,1,-91,1,4,4,2,17,-91,0,1,2,1,2,2,3,12000,2,444.59
NS24997M,10400,46800,2,1,2,0,1,2,1,16,2,1,2,2,1,0,0,1,0,0,2,1,0,2,1,1,3,-92,1,1,3,33,2,2,2,4,1,1,2,5,11,-91,1,1,2,1,2,1,3,4,1,2,13,-91,12,1,5,2,2,7,6,3000,5,444.43
NS11932S,-999,-99,2,1,2,2,1,2,1,5,-99,1,2,2,1,0,1,2,0,0,2,3,0,-99,1,1,4,2,1,1,3,36,4,-1,3,2,1,2,2,5,14,-91,1,1,2,1,1,-91,1,4,4,2,13,-91,7,1,2,1,2,5,3,-1,1,444.38
NS17481C,15000,31426.8,1,1,2,0,1,2,2,11,20,1,1,1,1,0,0,1,0,0,2,1,0,5,1,1,3,2,1,1,3,29,8,2,4,2,2,1,2,5,12,-91,2,1,2,2,1,-91,1,4,4,2,12,-91,9,1,1,1,2,4,1,-1,2,444.17
NS22523W,15000,45500,1,1,2,1,1,2,1,2,7,1,1,1,1,0,0,2,1,0,2,3,0,2,1,3,3,2,2,1,3,37,8,2,4,6,-1,1,2,5,13,-91,2,2,2,2,2,2,9,4,4,2,12,-91,2,1,1,1,2,2,1,-1,1,444.06
NS26060S,36000,75600,1,1,2,1,1,2,1,1,2,1,1,1,1,0,1,1,0,0,2,2,0,2,1,1,5,2,1,2,3,37,1,2,2,2,2,2,2,5,13,-91,1,1,2,1,1,-91,9,4,4,2,13,-91,1,1,1,1,2,4,1,-1,1,443.76
